District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
15,3,2024,Multi-Racial,118,474,1,0.8,14,11.9,51,43.2,52,44.1,103,87.3
15,3,2024,Native American,9,452,1,11.1,4,44.4,2,22.2,2,22.2,4,44.4
15,3,2024,White,703,471,17,2.4,88,12.5,354,50.4,244,34.7,598,85.1
15,4,2024,Asian,423,475,21,5.0,51,12.1,169,40.0,182,43.0,351,83.0
15,4,2024,Black,89,s,s,s,s,s,s,s,s,s,s,s
15,4,2024,Hispanic,626,448,165,26.4,179,28.6,213,34.0,69,11.0,282,45.0
15,4,2024,Multi-Racial,104,479,1,1.0,11,10.6,47,45.2,45,43.3,92,88.5
15,4,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
15,4,2024,White,683,475,28,4.1,73,10.7,320,46.9,262,38.4,582,85.2
15,5,2024,Asian,402,475,25,6.2,43,10.7,151,37.6,183,45.5,334,83.1
15,5,2024,Black,110,441,42,38.2,30,27.3,31,28.2,7,6.4,38,34.5
15,5,2024,Hispanic,595,443,218,36.6,149,25.0,174,29.2,54,9.1,228,38.3
15,5,2024,Multi-Racial,97,477,2,2.1,14,14.4,31,32.0,50,51.5,81,83.5
15,5,2024,Native American,10,445,3,30.0,2,20.0,4,40.0,1,10.0,5,50.0
15,5,2024,White,652,469,39,6.0,102,15.6,272,41.7,239,36.7,511,78.4
15,6,2024,Asian,262,464,33,12.6,40,15.3,119,45.4,70,26.7,189,72.1
15,6,2024,Black,114,439,41,36.0,37,32.5,30,26.3,6,5.3,36,31.6
15,6,2024,Hispanic,621,440,232,37.4,198,31.9,158,25.4,33,5.3,191,30.8
15,6,2024,Multi-Racial,79,s,s,s,s,s,s,s,s,s,s,s
15,6,2024,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,6,2024,White,430,471,30,7.0,57,13.3,187,43.5,156,36.3,343,79.8
15,7,2024,Asian,206,478,5,2.4,26,12.6,60,29.1,115,55.8,175,85.0
15,7,2024,Black,112,448,32,28.6,26,23.2,39,34.8,15,13.4,54,48.2
15,7,2024,Hispanic,622,449,153,24.6,187,30.1,178,28.6,104,16.7,282,45.3
15,7,2024,Multi-Racial,80,s,s,s,s,s,s,s,s,s,s,s
15,7,2024,Native American,3,s,s,s,s,s,s,s,s,s,s,s
15,7,2024,White,479,481,23,4.8,41,8.6,117,24.4,298,62.2,415,86.6
15,8,2024,Asian,22,470,2,9.1,4,18.2,5,22.7,11,50.0,16,72.7
15,8,2024,Black,5,s,s,s,s,s,s,s,s,s,s,s
15,8,2024,Hispanic,104,426,79,76.0,17,16.3,6,5.8,2,1.9,8,7.7
15,8,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
15,8,2024,White,7,430,6,85.7,0,0.0,0,0.0,1,14.3,1,14.3
15,All Grades,2024,Asian,1744,471,103,5.9,246,14.1,713,40.9,682,39.1,1395,80.0
15,All Grades,2024,Black,518,442,168,32.4,150,29.0,154,29.7,46,8.9,200,38.6
15,All Grades,2024,Hispanic,3168,444,965,30.5,960,30.3,923,29.1,320,10.1,1243,39.2
15,All Grades,2024,Multi-Racial,478,476,12,2.5,53,11.1,197,41.2,216,45.2,413,86.4
15,All Grades,2024,Native American,31,447,10,32.3,7,22.6,9,29.0,5,16.1,14,45.2
15,All Grades,2024,White,2954,473,143,4.8,361,12.2,1250,42.3,1200,40.6,2450,82.9
15,3,2023,Asian,451,470,12,2.7,89,19.7,177,39.2,173,38.4,350,77.6
15,3,2023,Black,88,s,s,s,s,s,s,s,s,s,s,s
15,3,2023,Hispanic,586,448,91,15.5,217,37.0,218,37.2,60,10.2,278,47.4
15,3,2023,Multi-Racial,93,472,3,3.2,13,14.0,36,38.7,41,44.1,77,82.8
15,3,2023,Native American,2,s,s,s,s,s,s,s,s,s,s,s
15,3,2023,White,683,470,16,2.3,104,15.2,338,49.5,225,32.9,563,82.4
15,4,2023,Asian,481,473,24,5.0,59,12.3,207,43.0,191,39.7,398,82.7
15,4,2023,Black,107,445,38,35.5,20,18.7,42,39.3,7,6.5,49,45.8
15,4,2023,Hispanic,630,445,205,32.5,158,25.1,226,35.9,41,6.5,267,42.4
15,4,2023,Multi-Racial,86,482,2,2.3,5,5.8,30,34.9,49,57.0,79,91.9
15,4,2023,Native American,10,457,2,20.0,3,30.0,3,30.0,2,20.0,5,50.0
15,4,2023,White,675,473,22,3.3,76,11.3,334,49.5,243,36.0,577,85.5
15,5,2023,Asian,479,473,29,6.1,58,12.1,184,38.4,208,43.4,392,81.8
15,5,2023,Black,102,439,44,43.1,28,27.5,24,23.5,6,5.9,30,29.4
15,5,2023,Hispanic,647,443,215,33.2,200,30.9,184,28.4,48,7.4,232,35.9
15,5,2023,Multi-Racial,69,474,2,2.9,8,11.6,31,44.9,28,40.6,59,85.5
15,5,2023,Native American,6,434,2,33.3,4,66.7,0,0.0,0,0.0,0,0.0
15,5,2023,White,613,473,34,5.5,69,11.3,254,41.4,256,41.8,510,83.2
15,6,2023,Asian,220,466,22,10.0,40,18.2,95,43.2,63,28.6,158,71.8
15,6,2023,Black,125,440,44,35.2,41,32.8,35,28.0,5,4.0,40,32.0
15,6,2023,Hispanic,641,439,274,42.7,179,27.9,153,23.9,35,5.5,188,29.3
15,6,2023,Multi-Racial,81,s,s,s,s,s,s,s,s,s,s,s
15,6,2023,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,6,2023,White,504,471,39,7.7,58,11.5,239,47.4,168,33.3,407,80.8
15,7,2023,Asian,220,472,18,8.2,23,10.5,68,30.9,111,50.5,179,81.4
15,7,2023,Black,103,448,22,21.4,40,38.8,22,21.4,19,18.4,41,39.8
15,7,2023,Hispanic,593,447,145,24.5,217,36.6,150,25.3,81,13.7,231,39.0
15,7,2023,Multi-Racial,43,s,s,s,s,s,s,s,s,s,s,s
15,7,2023,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,7,2023,White,441,476,18,4.1,45,10.2,120,27.2,258,58.5,378,85.7
15,8,2023,Asian,20,450,7,35.0,4,20.0,7,35.0,2,10.0,9,45.0
15,8,2023,Black,13,s,s,s,s,s,s,s,s,s,s,s
15,8,2023,Hispanic,132,428,93,70.5,16,12.1,23,17.4,0,0.0,23,17.4
15,8,2023,Native American,2,s,s,s,s,s,s,s,s,s,s,s
15,8,2023,White,16,438,9,56.3,2,12.5,3,18.8,2,12.5,5,31.3
15,All Grades,2023,Asian,1871,471,112,6.0,273,14.6,738,39.4,748,40.0,1486,79.4
15,All Grades,2023,Black,538,442,189,35.1,154,28.6,150,27.9,45,8.4,195,36.2
15,All Grades,2023,Hispanic,3229,444,1023,31.7,987,30.6,954,29.5,265,8.2,1219,37.8
15,All Grades,2023,Multi-Racial,372,474,17,4.6,41,11.0,147,39.5,167,44.9,314,84.4
15,All Grades,2023,Native American,30,448,8,26.7,9,30.0,9,30.0,4,13.3,13,43.3
15,All Grades,2023,White,2932,472,138,4.7,354,12.1,1288,43.9,1152,39.3,2440,83.2
15,3,2022,Asian,495,610,44,8.9,63,12.7,178,36.0,210,42.4,388,78.4
15,3,2022,Black,109,592,39,35.8,27,24.8,30,27.5,13,11.9,43,39.4
15,3,2022,Hispanic,623,590,244,39.2,181,29.1,142,22.8,56,9.0,198,31.8
15,3,2022,Multi-Racial,77,614,3,3.9,4,5.2,33,42.9,37,48.1,70,90.9
15,3,2022,Native American,12,590,5,41.7,2,16.7,4,33.3,1,8.3,5,41.7
15,3,2022,White,670,610,47,7.0,90,13.4,271,40.4,262,39.1,533,79.6
15,4,2022,Asian,512,610,48,9.4,99,19.3,144,28.1,221,43.2,365,71.3
15,4,2022,Black,96,585,45,46.9,27,28.1,16,16.7,8,8.3,24,25.0
15,4,2022,Hispanic,613,588,278,45.4,177,28.9,114,18.6,44,7.2,158,25.8
15,4,2022,Multi-Racial,82,s,s,s,s,s,s,s,s,s,s,s
15,4,2022,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,4,2022,White,633,610,47,7.4,108,17.1,199,31.4,279,44.1,478,75.5
15,5,2022,Asian,458,611,61,13.3,81,17.7,125,27.3,191,41.7,316,69.0
15,5,2022,Black,99,586,60,60.6,24,24.2,7,7.1,8,8.1,15,15.2
15,5,2022,Hispanic,652,591,319,48.9,148,22.7,117,17.9,68,10.4,185,28.4
15,5,2022,Multi-Racial,87,613,5,5.7,13,14.9,29,33.3,40,46.0,69,79.3
15,5,2022,Native American,8,593,3,37.5,1,12.5,3,37.5,1,12.5,4,50.0
15,5,2022,White,644,609,82,12.7,123,19.1,189,29.3,250,38.8,439,68.2
15,6,2022,Asian,215,609,26,12.1,50,23.3,61,28.4,78,36.3,139,64.7
15,6,2022,Black,97,591,51,52.6,25,25.8,9,9.3,12,12.4,21,21.6
15,6,2022,Hispanic,557,590,283,50.8,149,26.8,75,13.5,50,9.0,125,22.4
15,6,2022,Multi-Racial,62,614,3,4.8,8,12.9,18,29.0,33,53.2,51,82.3
15,6,2022,Native American,6,600,2,33.3,2,33.3,1,16.7,1,16.7,2,33.3
15,6,2022,White,457,611,57,12.5,81,17.7,135,29.5,184,40.3,319,69.8
15,7,2022,Asian,214,610,28,13.1,49,22.9,69,32.2,68,31.8,137,64.0
15,7,2022,Black,129,593,57,44.2,40,31.0,25,19.4,7,5.4,32,24.8
15,7,2022,Hispanic,543,592,249,45.9,178,32.8,81,14.9,35,6.4,116,21.4
15,7,2022,Multi-Racial,61,611,6,9.8,11,18.0,22,36.1,22,36.1,44,72.1
15,7,2022,Native American,7,596,3,42.9,1,14.3,1,14.3,2,28.6,3,42.9
15,7,2022,White,404,610,34,8.4,89,22.0,148,36.6,133,32.9,281,69.6
15,8,2022,Asian,22,594,10,45.5,7,31.8,4,18.2,1,4.5,5,22.7
15,8,2022,Black,17,578,16,94.1,1,5.9,0,0.0,0,0.0,0,0.0
15,8,2022,Hispanic,141,584,107,75.9,28,19.9,5,3.5,1,0.7,6,4.3
15,8,2022,Multi-Racial,1,s,s,s,s,s,s,s,s,s,s,s
15,8,2022,White,15,s,s,s,s,s,s,s,s,s,s,s
15,All Grades,2022,Asian,1916,610,217,11.3,349,18.2,581,30.3,769,40.1,1350,70.5
15,All Grades,2022,Black,547,590,268,49.0,144,26.3,87,15.9,48,8.8,135,24.7
15,All Grades,2022,Hispanic,3129,590,1480,47.3,861,27.5,534,17.1,254,8.1,788,25.2
15,All Grades,2022,Multi-Racial,370,613,22,5.9,48,13.0,130,35.1,170,45.9,300,81.1
15,All Grades,2022,Native American,38,s,s,s,s,s,s,s,s,s,s,s
15,All Grades,2022,White,2823,s,s,s,s,s,s,s,s,s,s,s
15,3,2019,Asian,517,612,31,6.0,74,14.3,175,33.8,237,45.8,412,79.7
15,3,2019,Black,119,594,32,26.9,30,25.2,41,34.5,16,13.4,57,47.9
15,3,2019,Hispanic,915,597,250,27.3,253,27.7,253,27.7,159,17.4,412,45.0
15,3,2019,Multi-Racial,91,614,5,5.5,8,8.8,25,27.5,53,58.2,78,85.7
15,3,2019,Native American,9,609,0,0.0,2,22.2,4,44.4,3,33.3,7,77.8
15,3,2019,White,869,612,48,5.5,120,13.8,294,33.8,407,46.8,701,80.7
15,4,2019,Asian,532,613,31,5.8,105,19.7,113,21.2,283,53.2,396,74.4
15,4,2019,Black,141,596,41,29.1,46,32.6,22,15.6,32,22.7,54,38.3
15,4,2019,Hispanic,950,595,279,29.4,333,35.1,187,19.7,151,15.9,338,35.6
15,4,2019,Multi-Racial,97,613,6,6.2,14,14.4,21,21.6,56,57.7,77,79.4
15,4,2019,Native American,7,591,3,42.9,1,14.3,1,14.3,2,28.6,3,42.9
15,4,2019,White,828,613,26,3.1,138,16.7,259,31.3,405,48.9,664,80.2
15,5,2019,Asian,569,612,73,12.8,93,16.3,138,24.3,265,46.6,403,70.8
15,5,2019,Black,182,594,70,38.5,54,29.7,35,19.2,23,12.6,58,31.9
15,5,2019,Hispanic,875,597,333,38.1,225,25.7,165,18.9,152,17.4,317,36.2
15,5,2019,Multi-Racial,67,615,4,6.0,11,16.4,18,26.9,34,50.7,52,77.6
15,5,2019,Native American,7,604,2,28.6,1,14.3,2,28.6,2,28.6,4,57.1
15,5,2019,White,751,614,55,7.3,96,12.8,224,29.8,376,50.1,600,79.9
15,6,2019,Asian,335,611,35,10.4,64,19.1,99,29.6,137,40.9,236,70.4
15,6,2019,Black,178,597,66,37.1,36,20.2,47,26.4,29,16.3,76,42.7
15,6,2019,Hispanic,867,593,371,42.8,245,28.3,152,17.5,99,11.4,251,29.0
15,6,2019,Multi-Racial,64,613,6,9.4,8,12.5,19,29.7,31,48.4,50,78.1
15,6,2019,Native American,7,604,1,14.3,3,42.9,1,14.3,2,28.6,3,42.9
15,6,2019,White,632,614,42,6.6,79,12.5,207,32.8,304,48.1,511,80.9
15,7,2019,Asian,278,616,30,10.8,45,16.2,61,21.9,142,51.1,203,73.0
15,7,2019,Black,157,600,45,28.7,45,28.7,42,26.8,25,15.9,67,42.7
15,7,2019,Hispanic,755,597,280,37.1,234,31.0,136,18.0,105,13.9,241,31.9
15,7,2019,Multi-Racial,35,622,1,2.9,3,8.6,9,25.7,22,62.9,31,88.6
15,7,2019,Native American,9,599,3,33.3,2,22.2,3,33.3,1,11.1,4,44.4
15,7,2019,White,578,619,27,4.7,76,13.1,145,25.1,330,57.1,475,82.2
15,8,2019,Asian,71,606,18,25.4,21,29.6,17,23.9,15,21.1,32,45.1
15,8,2019,Black,51,580,40,78.4,9,17.6,0,0.0,2,3.9,2,3.9
15,8,2019,Hispanic,444,592,235,52.9,150,33.8,52,11.7,7,1.6,59,13.3
15,8,2019,Multi-Racial,10,s,s,s,s,s,s,s,s,s,s,s
15,8,2019,Native American,4,s,s,s,s,s,s,s,s,s,s,s
15,8,2019,White,89,598,36,40.4,26,29.2,17,19.1,10,11.2,27,30.3
15,All Grades,2019,Asian,2302,612,218,9.5,402,17.5,603,26.2,1079,46.9,1682,73.1
15,All Grades,2019,Black,828,595,294,35.5,220,26.6,187,22.6,127,15.3,314,37.9
15,All Grades,2019,Hispanic,4806,595,1748,36.4,1440,30.0,945,19.7,673,14.0,1618,33.7
15,All Grades,2019,Multi-Racial,364,s,s,s,s,s,s,s,s,s,s,s
15,All Grades,2019,Native American,43,s,s,s,s,s,s,s,s,s,s,s
15,All Grades,2019,White,3747,614,234,6.2,535,14.3,1146,30.6,1832,48.9,2978,79.5
15,3,2018,Asian,563,612,43,7.6,78,13.9,186,33.0,256,45.5,442,78.5
15,3,2018,Black,146,594,51,34.9,34,23.3,37,25.3,24,16.4,61,41.8
15,3,2018,Hispanic,969,594,311,32.1,259,26.7,267,27.6,132,13.6,399,41.2
15,3,2018,Multi-Racial,94,s,s,s,s,s,s,s,s,s,s,s
15,3,2018,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,3,2018,White,871,612,40,4.6,111,12.7,331,38.0,389,44.7,720,82.7
15,4,2018,Asian,592,610,69,11.7,112,18.9,147,24.8,264,44.6,411,69.4
15,4,2018,Black,179,596,53,29.6,59,33.0,42,23.5,25,14.0,67,37.4
15,4,2018,Hispanic,913,597,267,29.2,310,34.0,152,16.6,184,20.2,336,36.8
15,4,2018,Multi-Racial,70,613,5,7.1,9,12.9,21,30.0,35,50.0,56,80.0
15,4,2018,Native American,7,600,2,28.6,1,14.3,2,28.6,2,28.6,4,57.1
15,4,2018,White,768,614,39,5.1,104,13.5,209,27.2,416,54.2,625,81.4
15,5,2018,Asian,555,613,65,11.7,90,16.2,141,25.4,259,46.7,400,72.1
15,5,2018,Black,152,596,61,40.1,38,25.0,28,18.4,25,16.4,53,34.9
15,5,2018,Hispanic,971,596,390,40.2,252,26.0,180,18.5,149,15.3,329,33.9
15,5,2018,Multi-Racial,60,614,6,10.0,8,13.3,18,30.0,28,46.7,46,76.7
15,5,2018,Native American,8,614,0,0.0,2,25.0,2,25.0,4,50.0,6,75.0
15,5,2018,White,695,614,66,9.5,101,14.5,188,27.1,340,48.9,528,76.0
15,6,2018,Asian,302,610,40,13.2,56,18.5,83,27.5,123,40.7,206,68.2
15,6,2018,Black,196,599,52,26.5,57,29.1,57,29.1,30,15.3,87,44.4
15,6,2018,Hispanic,794,595,308,38.8,215,27.1,180,22.7,91,11.5,271,34.1
15,6,2018,Multi-Racial,41,617,0,0.0,9,22.0,10,24.4,22,53.7,32,78.0
15,6,2018,Native American,11,596,3,27.3,4,36.4,3,27.3,1,9.1,4,36.4
15,6,2018,White,636,614,54,8.5,100,15.7,163,25.6,319,50.2,482,75.8
15,7,2018,Asian,229,613,31,13.5,33,14.4,62,27.1,103,45.0,165,72.1
15,7,2018,Black,167,597,65,38.9,35,21.0,45,26.9,22,13.2,67,40.1
15,7,2018,Hispanic,790,597,279,35.3,235,29.7,188,23.8,88,11.1,276,34.9
15,7,2018,Multi-Racial,56,s,s,s,s,s,s,s,s,s,s,s
15,7,2018,Native American,5,s,s,s,s,s,s,s,s,s,s,s
15,7,2018,White,555,615,53,9.5,70,12.6,135,24.3,297,53.5,432,77.8
15,8,2018,Asian,104,609,21,20.2,31,29.8,22,21.2,30,28.8,52,50.0
15,8,2018,Black,92,593,46,50.0,34,37.0,9,9.8,3,3.3,12,13.0
15,8,2018,Hispanic,544,594,263,48.3,176,32.4,79,14.5,26,4.8,105,19.3
15,8,2018,Multi-Racial,13,618,2,15.4,1,7.7,4,30.8,6,46.2,10,76.9
15,8,2018,White,181,608,39,21.5,49,27.1,51,28.2,42,23.2,93,51.4
15,All Grades,2018,Asian,2345,612,269,11.5,400,17.1,641,27.3,1035,44.1,1676,71.5
15,All Grades,2018,Black,932,596,328,35.2,257,27.6,218,23.4,129,13.8,347,37.2
15,All Grades,2018,Hispanic,4981,596,1818,36.5,1447,29.1,1046,21.0,670,13.5,1716,34.5
15,All Grades,2018,Multi-Racial,334,614,19,5.7,47,14.1,113,33.8,155,46.4,268,80.2
15,All Grades,2018,Native American,36,600,9,25.0,9,25.0,9,25.0,9,25.0,18,50.0
15,All Grades,2018,White,3706,613,291,7.9,535,14.4,1077,29.1,1803,48.7,2880,77.7
16,3,2025,Asian,6,s,s,s,s,s,s,s,s,s,s,s
16,3,2025,Black,216,466,26,12.0,30,13.9,89,41.2,71,32.9,160,74.1
16,3,2025,Hispanic,81,457,13,16.0,23,28.4,21,25.9,24,29.6,45,55.6
16,3,2025,Multi-Racial,9,463,1,11.1,2,22.2,4,44.4,2,22.2,6,66.7
16,3,2025,Native American,1,s,s,s,s,s,s,s,s,s,s,s
16,3,2025,White,20,475,1,5.0,2,10.0,7,35.0,10,50.0,17,85.0
16,4,2025,Asian,7,468,1,14.3,0,0.0,4,57.1,2,28.6,6,85.7
16,4,2025,Black,218,466,35,16.1,38,17.4,66,30.3,79,36.2,145,66.5
16,4,2025,Hispanic,99,452,34,34.3,21,21.2,22,22.2,22,22.2,44,44.4
16,4,2025,Multi-Racial,10,473,1,10.0,0,0.0,5,50.0,4,40.0,9,90.0
16,4,2025,White,15,486,1,6.7,1,6.7,4,26.7,9,60.0,13,86.7
16,5,2025,Asian,6,440,3,50.0,1,16.7,1,16.7,1,16.7,2,33.3
16,5,2025,Black,228,455,56,24.6,50,21.9,68,29.8,54,23.7,122,53.5
16,5,2025,Hispanic,79,442,34,43.0,20,25.3,15,19.0,10,12.7,25,31.6
16,5,2025,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
16,5,2025,Native American,1,s,s,s,s,s,s,s,s,s,s,s
16,5,2025,White,9,449,4,44.4,2,22.2,0,0.0,3,33.3,3,33.3
16,6,2025,Asian,2,s,s,s,s,s,s,s,s,s,s,s
16,6,2025,Black,161,446,44,27.3,46,28.6,56,34.8,15,9.3,71,44.1
16,6,2025,Hispanic,53,446,19,35.8,11,20.8,16,30.2,7,13.2,23,43.4
16,6,2025,Multi-Racial,8,456,1,12.5,2,25.0,4,50.0,1,12.5,5,62.5
16,6,2025,Native American,1,s,s,s,s,s,s,s,s,s,s,s
16,6,2025,White,6,454,2,33.3,1,16.7,1,16.7,2,33.3,3,50.0
16,7,2025,Asian,5,s,s,s,s,s,s,s,s,s,s,s
16,7,2025,Black,155,456,20,12.9,46,29.7,55,35.5,34,21.9,89,57.4
16,7,2025,Hispanic,55,454,7,12.7,15,27.3,23,41.8,10,18.2,33,60.0
16,7,2025,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
16,7,2025,Native American,5,s,s,s,s,s,s,s,s,s,s,s
16,7,2025,White,10,474,2,20.0,1,10.0,1,10.0,6,60.0,7,70.0
16,8,2025,Asian,2,s,s,s,s,s,s,s,s,s,s,s
16,8,2025,Black,158,447,53,33.5,38,24.1,51,32.3,16,10.1,67,42.4
16,8,2025,Hispanic,54,446,19,35.2,14,25.9,13,24.1,8,14.8,21,38.9
16,8,2025,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
16,8,2025,Native American,3,s,s,s,s,s,s,s,s,s,s,s
16,8,2025,White,8,476,0,0.0,1,12.5,3,37.5,4,50.0,7,87.5
16,All Grades,2025,Asian,28,455,5,17.9,5,17.9,14,50.0,4,14.3,18,64.3
16,All Grades,2025,Black,1136,457,234,20.6,248,21.8,385,33.9,269,23.7,654,57.6
16,All Grades,2025,Hispanic,421,450,126,29.9,104,24.7,110,26.1,81,19.2,191,45.4
16,All Grades,2025,Multi-Racial,37,463,4,10.8,6,16.2,18,48.6,9,24.3,27,73.0
16,All Grades,2025,Native American,11,441,4,36.4,2,18.2,4,36.4,1,9.1,5,45.5
16,All Grades,2025,White,68,472,10,14.7,8,11.8,16,23.5,34,50.0,50,73.5
16,3,2024,Asian,7,s,s,s,s,s,s,s,s,s,s,s
16,3,2024,Black,222,453,28,12.6,69,31.1,88,39.6,37,16.7,125,56.3
16,3,2024,Hispanic,90,444,26,28.9,23,25.6,31,34.4,10,11.1,41,45.6
16,3,2024,Multi-Racial,10,453,3,30.0,1,10.0,5,50.0,1,10.0,6,60.0
16,3,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
16,3,2024,White,19,474,2,10.5,1,5.3,5,26.3,11,57.9,16,84.2
16,4,2024,Asian,4,s,s,s,s,s,s,s,s,s,s,s
16,4,2024,Black,232,451,60,25.9,54,23.3,86,37.1,32,13.8,118,50.9
16,4,2024,Hispanic,95,439,43,45.3,22,23.2,18,18.9,12,12.6,30,31.6
16,4,2024,Multi-Racial,7,442,2,28.6,1,14.3,4,57.1,0,0.0,4,57.1
16,4,2024,Native American,1,s,s,s,s,s,s,s,s,s,s,s
16,4,2024,White,14,455,3,21.4,4,28.6,4,28.6,3,21.4,7,50.0
16,5,2024,Asian,6,s,s,s,s,s,s,s,s,s,s,s
16,5,2024,Black,217,442,91,41.9,51,23.5,55,25.3,20,9.2,75,34.6
16,5,2024,Hispanic,97,437,44,45.4,30,30.9,17,17.5,6,6.2,23,23.7
16,5,2024,Multi-Racial,7,449,3,42.9,0,0.0,3,42.9,1,14.3,4,57.1
16,5,2024,Native American,2,s,s,s,s,s,s,s,s,s,s,s
16,5,2024,White,13,436,6,46.2,3,23.1,4,30.8,0,0.0,4,30.8
16,6,2024,Asian,6,452,1,16.7,1,16.7,3,50.0,1,16.7,4,66.7
16,6,2024,Black,161,445,55,34.2,45,28.0,45,28.0,16,9.9,61,37.9
16,6,2024,Hispanic,81,438,34,42.0,22,27.2,19,23.5,6,7.4,25,30.9
16,6,2024,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
16,6,2024,Native American,4,s,s,s,s,s,s,s,s,s,s,s
16,6,2024,White,12,457,3,25.0,1,8.3,6,50.0,2,16.7,8,66.7
16,7,2024,Asian,5,s,s,s,s,s,s,s,s,s,s,s
16,7,2024,Black,177,449,42,23.7,49,27.7,58,32.8,28,15.8,86,48.6
16,7,2024,Hispanic,82,445,28,34.1,24,29.3,17,20.7,13,15.9,30,36.6
16,7,2024,Multi-Racial,6,447,2,33.3,0,0.0,3,50.0,1,16.7,4,66.7
16,7,2024,Native American,6,s,s,s,s,s,s,s,s,s,s,s
16,7,2024,White,13,480,0,0.0,2,15.4,2,15.4,9,69.2,11,84.6
16,8,2024,Asian,8,461,2,25.0,2,25.0,1,12.5,3,37.5,4,50.0
16,8,2024,Black,115,448,38,33.0,17,14.8,43,37.4,17,14.8,60,52.2
16,8,2024,Hispanic,48,443,25,52.1,6,12.5,8,16.7,9,18.8,17,35.4
16,8,2024,Multi-Racial,1,s,s,s,s,s,s,s,s,s,s,s
16,8,2024,Native American,3,s,s,s,s,s,s,s,s,s,s,s
16,All Grades,2024,Asian,36,458,6,16.7,7,19.4,13,36.1,10,27.8,23,63.9
16,All Grades,2024,Black,1124,448,314,27.9,285,25.4,375,33.4,150,13.3,525,46.7
16,All Grades,2024,Hispanic,493,441,200,40.6,127,25.8,110,22.3,56,11.4,166,33.7
16,All Grades,2024,Multi-Racial,33,447,11,33.3,4,12.1,15,45.5,3,9.1,18,54.5
16,All Grades,2024,Native American,18,440,6,33.3,6,33.3,5,27.8,1,5.6,6,33.3
16,All Grades,2024,White,71,462,14,19.7,11,15.5,21,29.6,25,35.2,46,64.8
16,3,2023,Asian,3,s,s,s,s,s,s,s,s,s,s,s
16,3,2023,Black,229,453,38,16.6,66,28.8,80,34.9,45,19.7,125,54.6
16,3,2023,Hispanic,77,444,21,27.3,26,33.8,21,27.3,9,11.7,30,39.0
16,3,2023,Multi-Racial,7,467,1,14.3,1,14.3,2,28.6,3,42.9,5,71.4
16,3,2023,Native American,2,s,s,s,s,s,s,s,s,s,s,s
16,3,2023,White,14,452,4,28.6,3,21.4,5,35.7,2,14.3,7,50.0
16,4,2023,Asian,8,473,0,0.0,2,25.0,3,37.5,3,37.5,6,75.0
16,4,2023,Black,210,446,63,30.0,65,31.0,60,28.6,22,10.5,82,39.0
16,4,2023,Hispanic,94,439,45,47.9,16,17.0,25,26.6,8,8.5,33,35.1
16,4,2023,Multi-Racial,6,s,s,s,s,s,s,s,s,s,s,s
16,4,2023,Native American,5,s,s,s,s,s,s,s,s,s,s,s
16,4,2023,White,14,446,5,35.7,3,21.4,5,35.7,1,7.1,6,42.9
16,5,2023,Asian,9,444,3,33.3,3,33.3,2,22.2,1,11.1,3,33.3
16,5,2023,Black,229,440,93,40.6,57,24.9,65,28.4,14,6.1,79,34.5
16,5,2023,Hispanic,86,440,30,34.9,28,32.6,21,24.4,7,8.1,28,32.6
16,5,2023,Multi-Racial,5,s,s,s,s,s,s,s,s,s,s,s
16,5,2023,Native American,3,s,s,s,s,s,s,s,s,s,s,s
16,5,2023,White,11,449,3,27.3,3,27.3,3,27.3,2,18.2,5,45.5
16,6,2023,Asian,5,s,s,s,s,s,s,s,s,s,s,s
16,6,2023,Black,182,439,74,40.7,57,31.3,39,21.4,12,6.6,51,28.0
16,6,2023,Hispanic,72,440,33,45.8,17,23.6,15,20.8,7,9.7,22,30.6
16,6,2023,Multi-Racial,4,s,s,s,s,s,s,s,s,s,s,s
16,6,2023,Native American,4,s,s,s,s,s,s,s,s,s,s,s
16,6,2023,White,11,455,2,18.2,3,27.3,5,45.5,1,9.1,6,54.5
16,7,2023,Asian,16,453,4,25.0,3,18.8,4,25.0,5,31.3,9,56.3
16,7,2023,Black,187,448,42,22.5,60,32.1,66,35.3,19,10.2,85,45.5
16,7,2023,Hispanic,88,442,28,31.8,27,30.7,24,27.3,9,10.2,33,37.5
16,7,2023,Multi-Racial,2,s,s,s,s,s,s,s,s,s,s,s
16,7,2023,Native American,8,454,1,12.5,1,12.5,4,50.0,2,25.0,6,75.0
16,7,2023,White,6,s,s,s,s,s,s,s,s,s,s,s
16,8,2023,Asian,7,s,s,s,s,s,s,s,s,s,s,s
