District,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
01,8,2023,Hispanic,122,443,55,45.1,21,17.2,35,28.7,11,9.0,46,37.7
01,8,2023,Multi-Racial,3,s,s,s,s,s,s,s,s,s,s,s
01,8,2023,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,8,2023,White,37,454,6,16.2,9,24.3,19,51.4,3,8.1,22,59.5
01,All Grades,2023,Asian,653,483,19,2.9,50,7.7,175,26.8,409,62.6,584,89.4
01,All Grades,2023,Black,446,437,196,43.9,118,26.5,101,22.6,31,7.0,132,29.6
01,All Grades,2023,Hispanic,1294,440,494,38.2,366,28.3,351,27.1,83,6.4,434,33.5
01,All Grades,2023,Multi-Racial,155,479,9,5.8,19,12.3,32,20.6,95,61.3,127,81.9
01,All Grades,2023,Native American,16,443,4,25.0,6,37.5,4,25.0,2,12.5,6,37.5
01,All Grades,2023,White,472,476,31,6.6,62,13.1,137,29.0,242,51.3,379,80.3
01,3,2022,Asian,101,620,3,3.0,8,7.9,27,26.7,63,62.4,90,89.1
01,3,2022,Black,77,586,39,50.6,17,22.1,14,18.2,7,9.1,21,27.3
01,3,2022,Hispanic,220,588,90,40.9,62,28.2,49,22.3,19,8.6,68,30.9
01,3,2022,Multi-Racial,33,s,s,s,s,s,s,s,s,s,s,s
01,3,2022,Native American,2,s,s,s,s,s,s,s,s,s,s,s
01,3,2022,White,73,611,7,9.6,18,24.7,13,17.8,35,47.9,48,65.8
01,4,2022,Asian,134,619,12,9.0,15,11.2,19,14.2,88,65.7,107,79.9
01,4,2022,Black,74,577,50,67.6,19,25.7,2,2.7,3,4.1,5,6.8
01,4,2022,Hispanic,202,584,113,55.9,47,23.3,25,12.4,17,8.4,42,20.8
01,4,2022,Multi-Racial,29,s,s,s,s,s,s,s,s,s,s,s
01,4,2022,Native American,5,s,s,s,s,s,s,s,s,s,s,s
01,4,2022,White,82,612,7,8.5,17,20.7,13,15.9,45,54.9,58,70.7
01,5,2022,Asian,133,621,11,8.3,15,11.3,20,15.0,87,65.4,107,80.5
01,5,2022,Black,77,580,56,72.7,9,11.7,9,11.7,3,3.9,12,15.6
01,5,2022,Hispanic,207,589,110,53.1,47,22.7,27,13.0,23,11.1,50,24.2
01,5,2022,Multi-Racial,30,s,s,s,s,s,s,s,s,s,s,s
01,5,2022,Native American,1,s,s,s,s,s,s,s,s,s,s,s
01,5,2022,White,105,621,13,12.4,9,8.6,12,11.4,71,67.6,83,79.0
01,6,2022,Asian,150,622,7,4.7,16,10.7,27,18.0,100,66.7,127,84.7
01,6,2022,Black,99,587,62,62.6,21,21.2,11,11.1,5,5.1,16,16.2
01,6,2022,Hispanic,209,593,91,43.5,67,32.1,28,13.4,23,11.0,51,24.4
01,6,2022,Multi-Racial,34,s,s,s,s,s,s,s,s,s,s,s
01,6,2022,Native American,3,s,s,s,s,s,s,s,s,s,s,s
01,6,2022,White,82,621,5,6.1,6,7.3,12,14.6,59,72.0,71,86.6
01,7,2022,Asian,130,616,4,3.1,29,22.3,35,26.9,62,47.7,97,74.6
01,7,2022,Black,89,586,57,64.0,20,22.5,10,11.2,2,2.2,12,13.5
01,7,2022,Hispanic,200,591,102,51.0,59,29.5,28,14.0,11,5.5,39,19.5
01,7,2022,Multi-Racial,15,s,s,s,s,s,s,s,s,s,s,s
01,7,2022,Native American,5,s,s,s,s,s,s,s,s,s,s,s
01,7,2022,White,98,610,12,12.2,23,23.5,30,30.6,33,33.7,63,64.3
01,8,2022,Asian,78,615,7,9.0,24,30.8,15,19.2,32,41.0,47,60.3
01,8,2022,Black,50,585,32,64.0,15,30.0,2,4.0,1,2.0,3,6.0
01,8,2022,Hispanic,119,591,63,52.9,40,33.6,14,11.8,2,1.7,16,13.4
01,8,2022,Multi-Racial,7,s,s,s,s,s,s,s,s,s,s,s
01,8,2022,Native American,1,s,s,s,s,s,s,s,s,s,s,s
01,8,2022,White,35,611,4,11.4,9,25.7,13,37.1,9,25.7,22,62.9
01,All Grades,2022,Asian,726,619,44,6.1,107,14.7,143,19.7,432,59.5,575,79.2
01,All Grades,2022,Black,466,584,296,63.5,101,21.7,48,10.3,21,4.5,69,14.8
01,All Grades,2022,Hispanic,1157,589,569,49.2,322,27.8,171,14.8,95,8.2,266,23.0
01,All Grades,2022,Multi-Racial,148,619,10,6.8,14,9.5,34,23.0,90,60.8,124,83.8
01,All Grades,2022,Native American,17,588,8,47.1,8,47.1,1,5.9,0,0.0,1,5.9
01,All Grades,2022,White,475,615,48,10.1,82,17.3,93,19.6,252,53.1,345,72.6
01,3,2019,Asian,152,618,12,7.9,11,7.2,38,25.0,91,59.9,129,84.9
