Administrative District,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Neither Female nor Male,% Neither Female nor Male,# Asian and Pacific Islander,% Asian and Pacific Islander,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
05,2020-21,"9,998",446,800,489,563,568,575,636,690,665,642,700,901,853,734,736,"4,656",46.6%,"5,342",53.4%,,,368,3.7%,"4,669",46.7%,"3,937",39.4%,149,1.5%,88,0.9%,634,6.3%,153,1.5%,"2,525",25.3%,792,7.9%,"8,114",81.2%,83.3%
05,2021-22,"9,341",507,696,488,500,569,531,546,607,581,632,620,817,799,746,702,"4,349",46.6%,"4,992",53.4%,,,350,3.7%,"4,345",46.5%,"3,677",39.4%,115,1.2%,124,1.3%,638,6.8%,92,1.0%,"2,449",26.2%,729,7.8%,"7,509",80.4%,82.4%
05,2022-23,"8,656",443,644,459,485,510,546,487,532,501,560,603,743,737,659,747,"3,973",45.9%,"4,682",54.1%,1,0.0%,342,4.0%,"4,007",46.3%,"3,257",37.6%,133,1.5%,103,1.2%,651,7.5%,163,1.9%,"2,327",26.9%,676,7.8%,"7,100",82.0%,83.5%
05,2023-24,"8,596",419,640,509,489,510,510,549,523,483,538,598,835,683,665,645,"3,989",46.4%,"4,606",53.6%,1,0.0%,354,4.1%,"3,825",44.5%,"3,474",40.4%,154,1.8%,91,1.1%,684,8.0%,14,0.2%,"2,302",26.8%,969,11.3%,"7,173",83.4%,84.6%
05,2024-25,"8,356",342,608,506,517,494,506,516,549,478,499,561,731,790,591,668,"3,823",45.8%,"4,531",54.2%,2,0.0%,362,4.3%,"3,587",42.9%,"3,400",40.7%,207,2.5%,85,1.0%,679,8.1%,36,0.4%,"2,224",26.6%,"1,114",13.3%,"6,876",82.3%,84.6%
06,2020-21,"20,670",939,"1,512","1,309","1,341","1,400","1,430","1,526","1,522","1,388","1,424","1,531","1,627","1,308","1,126","1,287","10,184",49.3%,"10,486",50.7%,,,321,1.6%,"1,492",7.2%,"17,000",82.2%,316,1.5%,61,0.3%,"1,316",6.4%,164,0.8%,"4,375",21.2%,"5,014",24.3%,"17,179",83.1%,82.8%
06,2021-22,"19,424","1,190","1,362","1,203","1,241","1,236","1,321","1,354","1,394","1,272","1,330","1,376","1,543","1,351","1,170","1,081","9,561",49.2%,"9,863",50.8%,,,283,1.5%,"1,483",7.6%,"15,957",82.2%,267,1.4%,55,0.3%,"1,231",6.3%,148,0.8%,"4,138",21.3%,"4,891",25.2%,"15,809",81.4%,80.7%
06,2022-23,"18,521","1,102","1,346","1,202","1,183","1,218","1,195","1,312","1,264","1,157","1,277","1,335","1,401","1,382","1,055","1,092","9,098",49.1%,"9,422",50.9%,1,0.0%,242,1.3%,"1,412",7.6%,"15,001",81.0%,272,1.5%,50,0.3%,"1,247",6.7%,297,1.6%,"4,171",22.5%,"4,546",24.5%,"15,388",83.1%,82.8%
06,2023-24,"18,988","1,063","1,342","1,226","1,255","1,192","1,257","1,258","1,287","1,185","1,253","1,334","1,717","1,399","1,095","1,125","9,305",49.0%,"9,679",51.0%,4,0.0%,252,1.3%,"1,494",7.9%,"15,548",81.9%,292,1.5%,54,0.3%,"1,278",6.7%,70,0.4%,"4,252",22.4%,"5,074",26.7%,"16,152",85.1%,84.3%
06,2024-25,"18,696",933,"1,266","1,188","1,218","1,259","1,246","1,311","1,242","1,102","1,234","1,314","1,664","1,434","1,146","1,139","9,098",48.7%,"9,592",51.3%,6,0.0%,218,1.2%,"1,511",8.1%,"15,336",82.0%,299,1.6%,66,0.4%,"1,198",6.4%,68,0.4%,"4,165",22.3%,"5,264",28.2%,"15,794",84.5%,84.5%
07,2020-21,"17,533",745,"1,120",857,964,994,"1,060","1,051","1,156","1,064","1,035","1,078","1,738","1,821","1,513","1,337","8,230",46.9%,"9,303",53.1%,,,198,1.1%,"4,581",26.1%,"12,140",69.2%,83,0.5%,164,0.9%,272,1.6%,95,0.5%,"4,292",24.5%,"2,684",15.3%,"16,092",91.8%,92.7%
07,2021-22,"16,032",736,934,814,792,827,920,961,974,923,974,976,"1,768","1,692","1,365","1,376","7,645",47.7%,"8,387",52.3%,,,169,1.1%,"4,284",26.7%,"11,037",68.8%,69,0.4%,170,1.1%,259,1.6%,44,0.3%,"4,011",25.0%,"2,432",15.2%,"14,751",92.0%,92.1%
07,2022-23,"15,262",737,924,771,799,788,815,911,974,838,913,958,"1,574","1,639","1,328","1,293","7,218",47.3%,"8,044",52.7%,0,0.0%,164,1.1%,"4,108",26.9%,"10,329",67.7%,72,0.5%,167,1.1%,249,1.6%,173,1.1%,"3,919",25.7%,"2,315",15.2%,"14,232",93.3%,93.5%
07,2023-24,"14,785",719,874,767,755,800,782,797,890,809,827,878,"1,625","1,613","1,344","1,305","6,998",47.3%,"7,784",52.6%,3,0.0%,164,1.1%,"3,992",27.0%,"10,116",68.4%,68,0.5%,182,1.2%,237,1.6%,26,0.2%,"3,864",26.1%,"2,207",14.9%,"14,009",94.8%,94.5%
07,2024-25,"14,591",692,884,703,795,777,790,784,782,795,826,841,"1,602","1,713","1,333","1,274","6,899",47.3%,"7,690",52.7%,2,0.0%,142,1.0%,"3,892",26.7%,"10,043",68.8%,94,0.6%,167,1.1%,230,1.6%,23,0.2%,"3,850",26.4%,"2,275",15.6%,"13,736",94.1%,94.4%
