Administrative District,Year,Total Enrollment,Grade 3K,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Neither Female nor Male,% Neither Female nor Male,# Asian and Pacific Islander,% Asian and Pacific Islander,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
26,2024-25,"31,105","1,159","1,510","1,600","1,532","1,568","1,666","1,688","1,694","1,876","1,909","1,884","3,735","3,222","3,237","2,825","15,261",49.1%,"15,841",50.9%,3,0.0%,"17,201",55.3%,"2,910",9.4%,"6,379",20.5%,647,2.1%,368,1.2%,"3,520",11.3%,80,0.3%,"4,793",15.4%,"3,492",11.2%,"18,921",60.8%,55.4%
27,2020-21,"43,662","1,843","2,733","2,787","2,986","3,023","3,040","3,142","3,173","3,408","3,451","3,662","2,853","2,791","2,381","2,389","20,811",47.7%,"22,851",52.3%,,,"9,729",22.3%,"9,159",21.0%,"17,571",40.2%,472,1.1%,"1,970",4.5%,"4,526",10.4%,235,0.5%,"7,894",18.1%,"4,589",10.5%,"33,048",75.7%,70.7%
27,2021-22,"41,502","1,943","2,593","2,790","2,776","2,780","2,847","2,935","3,006","3,057","3,266","3,311","2,836","2,513","2,492","2,357","19,769",47.6%,"21,733",52.4%,,,"9,083",21.9%,"8,533",20.6%,"17,035",41.0%,446,1.1%,"1,893",4.6%,"4,092",9.9%,420,1.0%,"7,650",18.4%,"4,638",11.2%,"30,973",74.6%,68.3%
27,2022-23,"41,150","1,924","2,694","2,717","2,839","2,712","2,725","2,871","2,907","3,015","3,064","3,301","2,916","2,638","2,359","2,468","19,682",47.8%,"21,468",52.2%,0,0.0%,"8,850",21.5%,"8,370",20.3%,"17,232",41.9%,483,1.2%,"1,917",4.7%,"3,876",9.4%,422,1.0%,"7,799",19.0%,"5,013",12.2%,"31,550",76.7%,72.2%
27,2023-24,"41,623","1,842","2,631","2,831","2,882","2,934","2,806","2,905","2,942","2,986","3,154","3,150","2,918","2,773","2,505","2,364","19,958",47.9%,"21,664",52.0%,1,0.0%,"8,881",21.3%,"8,405",20.2%,"17,947",43.1%,538,1.3%,"2,067",5.0%,"3,665",8.8%,120,0.3%,"8,147",19.6%,"5,813",14.0%,"33,193",79.7%,74.9%
27,2024-25,"42,011","1,898","2,605","2,795","2,939","2,880","2,966","2,850","2,944","2,988","3,065","3,200","2,951","2,760","2,606","2,564","20,107",47.9%,"21,903",52.1%,1,0.0%,"9,073",21.6%,"8,325",19.8%,"18,302",43.6%,602,1.4%,"2,116",5.0%,"3,517",8.4%,76,0.2%,"8,137",19.4%,"6,144",14.6%,"33,419",79.5%,75.6%
28,2020-21,"40,681",288,"2,971","2,529","2,655","2,530","2,511","2,518","2,547","2,484","2,546","2,572","3,881","3,743","3,533","3,373","20,299",49.9%,"20,382",50.1%,,,"12,528",30.8%,"7,444",18.3%,"11,559",28.4%,827,2.0%,"1,488",3.7%,"6,454",15.9%,381,0.9%,"6,254",15.4%,"4,452",10.9%,"27,311",67.1%,62.7%
28,2021-22,"39,396","1,647","2,744","2,390","2,364","2,416","2,349","2,326","2,261","2,334","2,294","2,450","3,608","3,495","3,373","3,345","19,666",49.9%,"19,730",50.1%,,,"12,054",30.6%,"7,076",18.0%,"11,519",29.2%,848,2.2%,"1,482",3.8%,"6,111",15.5%,306,0.8%,"6,080",15.4%,"4,178",10.6%,"25,333",64.3%,59.7%
28,2022-23,"39,246","1,891","2,882","2,354","2,421","2,337","2,432","2,311","2,269","2,230","2,338","2,303","3,553","3,353","3,253","3,319","19,513",49.7%,"19,728",50.3%,5,0.0%,"11,735",29.9%,"6,791",17.3%,"11,695",29.8%,941,2.4%,"1,479",3.8%,"5,993",15.3%,612,1.6%,"6,205",15.8%,"4,511",11.5%,"26,452",67.4%,63.9%
28,2023-24,"40,081","1,934","2,834","2,524","2,535","2,522","2,392","2,494","2,343","2,308","2,271","2,417","3,627","3,481","3,263","3,136","19,955",49.8%,"20,121",50.2%,5,0.0%,"11,894",29.7%,"6,760",16.9%,"12,899",32.2%,989,2.5%,"1,496",3.7%,"5,948",14.8%,95,0.2%,"6,335",15.8%,"5,766",14.4%,"28,190",70.3%,67.5%
28,2024-25,"40,125","1,841","2,799","2,465","2,546","2,522","2,540","2,427","2,500","2,290","2,329","2,275","3,751","3,457","3,388","2,995","19,969",49.8%,"20,150",50.2%,6,0.0%,"11,793",29.4%,"6,662",16.6%,"13,301",33.1%,"1,002",2.5%,"1,513",3.8%,"5,762",14.4%,92,0.2%,"6,258",15.6%,"6,139",15.3%,"28,300",70.5%,68.3%
29,2020-21,"24,612",157,"1,801","1,801","1,983","2,045","2,080","2,104","2,240","2,110","2,172","2,251","1,041","1,033",888,906,"11,810",48.0%,"12,802",52.0%,,,"4,265",17.3%,"14,046",57.1%,"4,388",17.8%,302,1.2%,"1,010",4.1%,483,2.0%,118,0.5%,"4,115",16.7%,"2,383",9.7%,"17,989",73.1%,65.9%
29,2021-22,"24,266","1,222","1,838","1,667","1,738","1,834","1,919","1,962","2,024","2,009","2,031","2,101","1,173",973,951,824,"11,650",48.0%,"12,616",52.0%,,,"4,299",17.7%,"13,626",56.2%,"4,512",18.6%,275,1.1%,943,3.9%,428,1.8%,183,0.8%,"4,022",16.6%,"2,367",9.8%,"17,095",70.4%,62.8%
29,2022-23,"24,176","1,364","1,972","1,717","1,722","1,716","1,811","1,928","1,986","1,860","1,970","2,009","1,129","1,132",965,895,"11,621",48.1%,"12,555",51.9%,0,0.0%,"4,283",17.7%,"13,194",54.6%,"4,678",19.3%,312,1.3%,970,4.0%,403,1.7%,336,1.4%,"4,159",17.2%,"2,517",10.4%,"17,692",73.2%,68.3%
29,2023-24,"24,468","1,270","2,056","1,679","1,771","1,738","1,793","1,862","1,985","1,939","1,897","2,061","1,272","1,138","1,097",910,"11,842",48.4%,"12,625",51.6%,1,0.0%,"4,463",18.2%,"13,068",53.4%,"5,180",21.2%,330,1.3%,"1,001",4.1%,341,1.4%,85,0.3%,"4,370",17.9%,"3,006",12.3%,"18,658",76.3%,72.3%
29,2024-25,"24,337","1,212","1,864","1,770","1,713","1,823","1,733","1,795","1,937","1,830","1,999","1,971","1,239","1,251","1,120","1,080","11,727",48.2%,"12,610",51.8%,0,0.0%,"4,558",18.7%,"12,772",52.5%,"5,246",21.6%,345,1.4%,990,4.1%,345,1.4%,81,0.3%,"4,461",18.3%,"3,235",13.3%,"18,406",75.6%,72.5%
30,2020-21,"37,978",113,"2,806","2,550","2,683","2,635","2,627","2,662","2,830","3,061","3,063","3,163","2,832","2,555","2,183","2,215","18,890",49.7%,"19,088",50.3%,,,"8,020",21.1%,"2,356",6.2%,"19,852",52.3%,676,1.8%,259,0.7%,"6,600",17.4%,215,0.6%,"5,864",15.4%,"6,464",17.0%,"27,182",71.6%,69.2%
30,2021-22,"37,664","1,452","2,572","2,564","2,462","2,525","2,554","2,514","2,577","2,999","2,826","2,999","2,715","2,674","2,136","2,095","18,707",49.7%,"18,957",50.3%,,,"7,596",20.2%,"2,314",6.1%,"19,811",52.6%,759,2.0%,261,0.7%,"6,709",17.8%,214,0.6%,"5,797",15.4%,"6,964",18.5%,"25,202",66.9%,65.6%
30,2022-23,"38,080","1,894","2,748","2,480","2,533","2,473","2,532","2,500","2,569","2,781","2,920","2,839","2,833","2,612","2,281","2,085","18,828",49.4%,"19,248",50.5%,4,0.0%,"7,315",19.2%,"2,247",5.9%,"19,822",52.1%,862,2.3%,300,0.8%,"7,048",18.5%,486,1.3%,"5,947",15.6%,"7,467",19.6%,"26,065",68.4%,68.0%
30,2023-24,"39,631","1,945","2,790","2,656","2,680","2,684","2,581","2,676","2,652","2,922","2,801","2,967","3,237","2,559","2,252","2,229","19,558",49.4%,"20,062",50.6%,11,0.0%,"7,391",18.6%,"2,253",5.7%,"21,435",54.1%,936,2.4%,319,0.8%,"7,116",18.0%,181,0.5%,"6,083",15.3%,"9,101",23.0%,"28,503",71.9%,71.1%
30,2024-25,"38,826","2,064","2,794","2,613","2,590","2,599","2,608","2,550","2,699","2,803","2,902","2,767","3,061","2,447","2,263","2,066","19,157",49.3%,"19,663",50.6%,6,0.0%,"7,231",18.6%,"2,276",5.9%,"20,528",52.9%,952,2.5%,328,0.8%,"7,330",18.9%,181,0.5%,"5,960",15.4%,"8,431",21.7%,"27,109",69.8%,69.5%
